	COLD_CONTROL_12H_SHOOT_REP1.cel	COLD_CONTROL_12H_SHOOT_REP2.cel	COLD_6H_SHOOT_REP1.cel	COLD_6H_SHOOT_REP2.cel	COLD_12H_SHOOT_REP1.cel	COLD_12H_SHOOT_REP2.cel
244968_at	12.2775614285138	12.4988183512005	12.3530088099457	12.4354314276482	12.0854467048205	11.8453688659517
244969_at	10.9526843348763	11.0450755254337	11.0900664153958	11.0857715294988	10.842610490356	10.7580448787933
244970_at	9.87927252104584	10.2400373562518	10.4320720997251	10.3040499069614	9.87069573976042	9.62271801884911
244971_at	12.9457441195147	13.0394274155463	13.1349686767887	13.1815154669236	12.9544201585207	12.5334729398323
244972_at	11.6264985449744	11.9452807061913	12.1765759817391	11.8199582685903	11.8014691810365	11.4316184177249
244973_at	10.043627282623	10.2677984409889	10.3985436343524	10.0210925419123	10.1944669898853	10.0705787650984
244974_at	9.88437922803482	10.140786084638	9.9734741436353	9.98453452939972	9.57657459455877	9.3175316224329
244975_at	12.5110486673811	12.7232331762955	12.8378168084037	12.8189233054495	12.6637900353811	12.4265965866038
244976_at	13.7525250483168	13.7857169883521	13.8782710051777	13.799829165579	13.7870059655807	13.6983365234739
244977_at	8.31454151857825	8.63540842246963	9.00524409733829	9.53731111848188	8.76939013025154	8.2332094365175
244978_at	12.8469103303109	13.0050758424533	12.9827220724006	12.7852888570867	12.9211621265751	12.9068544109471
244979_at	13.3761318606302	13.3940715620316	13.3402342827253	13.3241051967068	13.2603506350817	13.167031041179
244980_at	12.5888017331301	12.5501503778731	12.5034546731591	12.5247301424066	12.4818724196542	12.3153741126802
244981_at	11.8829406821144	12.0487229223271	12.1085943688623	11.9627804223926	11.9633262512937	11.857396410612
244982_at	11.3763050894654	11.3574754314461	11.7196790145642	11.6346400265015	11.5814882036924	11.3977477824616
244983_at	12.3356820550036	12.4053403407683	12.6434348537679	12.4028050237287	12.3790733420455	11.973120765568
244984_at	12.1655003794171	12.1891791658637	12.2657728515965	12.1059401650769	12.1035635812634	12.0995701877322
244985_at	12.6275219735532	12.5721088683024	12.4924884744123	12.5864079130042	12.3358004358339	12.2885716504161
244986_at	12.1691080288391	12.2515851896722	12.5239374588727	12.424120552961	12.2367594279168	12.1656024564735
244987_s_at	13.9141855725862	13.9095782494068	13.8963132776449	13.8902542889014	13.8260667557335	13.7063899407215
244988_s_at	13.0387012307627	13.1155863051691	13.2120570427471	13.149236035779	12.9707531944257	12.8043353967861
244989_s_at	7.5461245780799	7.98488421323477	7.71375567959588	8.09622971341315	7.43242655584518	7.15515101949717
244990_s_at	7.37009751637861	7.66888448854074	7.0989235446543	7.6023729668275	6.81798071997467	6.62978949917428
244991_s_at	7.96913372128387	8.33050171435173	7.97411486886275	8.93378301425745	7.53087041854808	7.37134165087481
244992_s_at	13.9032069512216	13.9754347663465	14.0046661281316	13.8918453100017	13.9021911564096	13.7590346527314
244993_s_at	11.8015184974831	11.9664937191129	11.7589658263665	11.9333842056612	12.1269510212948	11.788805526724
244994_at	7.37484708390497	7.42953528379304	7.635520865765	7.93307920887974	7.53604506044551	7.43646929949672
244995_at	9.11070960064197	9.44011356778051	9.2980842533134	9.04400340534931	8.85014006765471	8.50038972798918
244996_at	11.9154358748781	12.0067560524805	12.2151176843621	12.160814222206	11.9651441545254	11.6411178917286
244997_at	10.9459165368004	11.0616228249698	11.6424898866169	11.5600061628408	11.2324149073887	10.6480362935555
244998_at	11.2977598950237	11.4441170491445	11.7936216735031	11.7230747524373	11.5977404632785	11.1900515327114
244999_at	8.89410151990159	9.21579780928109	9.29252515263169	9.14691076887823	8.69620015691915	8.20452961051936
245000_at	9.87939551899484	10.1084544831301	10.1320897962978	10.4153750362367	10.032983903404	9.52564080305963
245001_at	13.6509392816972	13.7268145402856	13.8169422632458	13.6611923153456	13.8176881113856	13.8123534223958
245002_at	12.1870652117387	12.5041573472341	12.9064169298109	12.8942128114641	12.7345116465335	12.0510277086988
245003_at	12.7062134201354	12.9877247870194	13.1875737412403	13.2963023585609	12.9963899917713	12.4716113145959
245004_at	12.6739748838843	12.7670839067372	12.9882465344199	12.9602558531875	13.0318762203418	12.7342131217491
245005_at	8.95372989963372	9.4185699969236	8.65866879066876	9.75349506712009	8.10651804568674	8.11439384332455
245006_at	14.33607354442	14.3824868092246	14.4171230779081	14.3921486366556	14.3520101336412	14.3032008409998
245007_at	13.9224105032168	13.9240424756105	14.0980552081378	14.0018139823796	14.0233682081087	13.7178737703583
245008_at	11.5713565735816	11.6487836269868	12.227258536084	11.9867640177516	11.8226500442828	11.1587134568701
245009_at	12.823408149662	12.898699129559	13.318700661213	13.2728329920041	13.1507259948895	12.7860365478888
245010_at	11.4488741254319	11.6430064333491	12.0801822906574	12.0145328078117	12.0899537692765	11.2708880320512
245011_at	10.1491284092913	10.3498976451939	10.7690854100657	10.9524272610865	10.5190524618531	9.82732705688733
245012_at	12.1425013031964	12.2676630766863	12.3541567024952	12.1545663574875	12.2771375617499	12.2797869103776
245013_at	13.9835105317094	14.0322715962053	13.9990025432565	13.9220218091989	13.8757370168122	13.8174249961389
245014_at	14.0739999378549	14.1423358075062	14.160227868692	14.0885646203503	14.0545539722651	13.9102236697617
245015_at	10.3468251862653	10.489271403529	12.0907791092106	12.38925876686	11.6342711868936	10.8266915115432
245016_at	10.9842542123993	11.2342934562087	11.7296456593204	11.7491221451821	11.6501820064542	10.9897979415822
245017_at	12.0579657790698	12.3993129163425	12.6248051442099	12.3823081814396	12.5105140486292	11.8643814493709
245018_at	12.5579243993005	12.6931343044763	12.8612924413963	12.85533385886	12.5991797105898	12.1294531267109
245019_at	12.1835054514755	12.2899721003061	12.5068998518538	12.4156822072853	12.2426163021995	11.7129232761873
245020_at	11.9872602535221	12.153183745049	12.4957628633923	12.3631434691221	12.2895367944412	11.8172634138116
245021_at	12.2976642933489	12.4103413020385	12.4560184637537	12.4313542349011	12.4112100698441	12.3581692528857
245022_at	10.4841090151014	10.6693190215869	10.7387518710321	10.804406923827	10.7584452841127	10.6973394930221
245023_at	11.816101561686	11.9809544213613	12.2010207932443	11.9216122972705	12.1287705372998	12.0462475973662
245024_at	12.2585120457522	12.3552347323515	12.6696781281567	12.4036264515962	12.5863566066759	11.8773951374428
245025_at	11.4256725701156	11.6190687673374	11.8152810391512	11.6500884215175	11.7013143984213	11.0211924350948
245026_at	12.4016119615878	12.5684749583235	12.2258092549869	12.2506873221321	11.9776190014705	11.2467509209481
245027_at	8.7049982018821	8.51080167557707	8.46406001385803	8.48350116491761	8.51863044920795	8.57597378352542
245028_at	7.81989616184805	7.7278955010756	7.46146175322344	7.20397534726229	7.04626237505767	7.29567966244453
245029_at	8.0473452443173	7.89195218846245	7.39529843141096	7.43569809556682	8.00530297458621	8.05549914841852
245030_at	3.65545069269613	3.61545494527103	3.56733670163912	3.60851914891642	3.67483992529691	3.59401628817726
245031_at	6.32193576921915	6.42180004289545	6.3001697136514	6.24053997977916	6.36486174669474	6.54404781770663
245032_at	4.11035666733492	4.14919186145453	4.12938492384706	4.22492341253252	4.08625430491441	4.12938492384706
245033_at	5.94553134027223	5.95580148708036	5.80618695637218	5.96073444091646	6.00943184302646	6.12588571137663
245034_at	5.20864849057032	5.14229873467644	5.37436212545125	5.23686361362859	5.46634953501653	5.51330945445485
245035_at	6.23063382470998	6.14556562667791	6.1447074654695	6.26789868873943	6.02623087631028	6.08711116443282
245036_at	4.16691501224188	4.2380816829013	4.17208386735068	4.15648507343271	4.2425462469961	4.18815190383524
245037_at	4.19312940990017	4.15797774391637	4.17875709712993	4.23881735504132	4.20048192528565	4.29714481000799
245038_at	7.29848539876778	7.43228327368442	10.2952266872925	10.0354698142073	11.1684585474916	10.9833535702261
