logFC,AveExpr,t,P.Value,adj.P.Val,B
7.883622344028116,10.130096283250598,98.92803800576759,8.321847553498523e-14,1.898213426953013e-9,21.38213597945426
6.106942822833095,8.207480686192236,86.74913149207617,2.416768492514778e-13,2.020104985831183e-9,20.687466597949957
7.01979135312867,10.289670340152712,84.58879754808711,2.9655417395692527e-13,2.020104985831183e-9,20.545483337362384
5.947712102804962,9.076545155160842,79.4961902377995,4.907901105726417e-13,2.020104985831183e-9,20.184426571807762
5.925941802717336,9.142386157261216,78.85680010570763,5.240211391724365e-13,2.020104985831183e-9,20.136291413236364
6.2069280545706595,8.631889377957904,78.72148403572149,5.313735166587944e-13,2.020104985831183e-9,20.126019950122824
7.2669328533235324,9.057511327279096,76.07246714813138,7.014498256801209e-13,2.285724360537651e-9,19.918807842720774
6.44256238197925,8.822357297988825,73.00919195442397,9.790126954115882e-13,2.5516271122653486e-9,19.66382995596645
5.746634015913723,10.325617920935258,71.86586835950867,1.112725313156442e-12,2.5516271122653486e-9,19.564162056413487
6.7659842939828,9.311946410194558,71.81887817189796,1.1186440650001529e-12,2.5516271122653486e-9,19.56001125323656
4.854841292900362,9.813095129295892,70.27974799457483,1.3335189949948042e-12,2.765233479621044e-9,19.421613116475655
4.758884520027234,9.267571281075718,68.49510935756358,1.6428298398561732e-12,2.975179142506362e-9,19.255008037195317
5.0300086333311596,8.925119308451759,67.5376006938301,1.8415066939108872e-12,2.975179142506362e-9,19.162789559920874
4.654508653544773,9.772504612019409,67.49229415364194,1.851555126039511e-12,2.975179142506362e-9,19.158375706647448
5.268507719131499,9.2253822064921,67.0350097183275,1.956496586479414e-12,2.975179142506362e-9,19.113567751796268
4.8242593657096124,10.58522196469612,66.10821870467944,2.1903186117418646e-12,3.1225729708644957e-9,19.02129107717208
5.23361529014976,10.281183978083247,62.72561972196946,3.353159417626102e-12,4.499150959767729e-9,18.667038161909993
4.444358033870982,12.462418955808928,61.06027696773283,4.170535263443255e-12,5.195012435660006e-9,18.481914001122092
7.0150769408929445,10.615375617977541,60.46828174974007,4.513260264794762e-12,5.195012435660006e-9,18.41429871740805
5.871747333782803,9.340348778200045,60.399599010858985,4.5550306318807595e-12,5.195012435660006e-9,18.40639113128161
4.863610222507081,10.495938192210865,59.23349963523788,5.334818024636743e-12,5.794628530569719e-9,18.27009890663605
5.000364011615932,9.201388799025127,58.70596615185104,5.736007039402757e-12,5.947196389489858e-9,18.207152942932368
4.66357542021171,7.725721872093805,58.068244780002,6.2669403161104016e-12,6.17051531210748e-9,18.129959600416576
3.977588799821822,12.013234093905979,57.81552748417462,6.492431718131501e-12,6.17051531210748e-9,18.099031004780592
4.683991901354058,10.39297655594163,56.62947168599197,7.679996667776655e-12,6.877626338061916e-9,17.951250523789525
4.294842062248305,8.858418400452814,56.27823587734197,8.077137245456069e-12,6.877626338061916e-9,17.906639199464458
4.568899819892227,8.811691863559522,56.22357905212614,8.140986897311343e-12,6.877626338061916e-9,17.89966162536244
5.6236764937723445,9.246716752396258,55.886205855311715,8.547877149357972e-12,6.963467063459119e-9,17.856378731315615
5.065946087907593,9.791742380707403,54.65112856117839,1.0244733135311573e-11,8.05801251091231e-9,17.694733924679255
5.723791393807648,9.682563548187318,54.141935516816176,1.1051957334646197e-11,8.403171560109325e-9,17.62659591696155
4.083716221250646,10.13053008122302,53.903228638522975,1.1454783267766463e-11,8.428503430250097e-9,17.594345475486193
3.91212797264663,7.798960285288993,53.162507382099726,1.2813625075082119e-11,8.952105770413424e-9,17.492997669622874
4.451411654917432,5.798239262314682,53.09241488848839,1.295131479279452e-11,8.952105770413424e-9,17.48330642747161
4.992373567344986,10.437935533628101,52.40350210120169,1.439673440274292e-11,9.444233850284367e-9,17.38710896197822
4.69506720493887,7.801893192610869,52.22805715721956,1.479319847273856e-11,9.444233850284367e-9,17.362332969070216
4.6921808108548575,8.901675959044805,52.17935775467268,1.490541072381575e-11,9.444233850284367e-9,17.355435540518506
3.848731468597606,8.685319334096373,51.88013236482926,1.5616220271150957e-11,9.46673533635114e-9,17.312861601039494
